8.030000000000001137e+00,1.151999999999999957e+01
7.980000000000000426e+00,1.121999999999999886e+01
7.929999999999999716e+00,1.091999999999999993e+01
7.780000000000000249e+00,1.061999999999999922e+01
7.580000000000000071e+00,1.032000000000000028e+01
7.330000000000000071e+00,1.007000000000000028e+01
7.030000000000000249e+00,9.919999999999999929e+00
6.730000000000000426e+00,9.869999999999999218e+00
6.429999999999999716e+00,9.820000000000000284e+00
6.129999999999999893e+00,9.820000000000000284e+00
5.830000000000000071e+00,9.820000000000000284e+00
5.530000000000000249e+00,9.869999999999999218e+00
5.230000000000000426e+00,1.001999999999999957e+01
4.929999999999999716e+00,1.026999999999999957e+01
4.780000000000000249e+00,1.057000000000000028e+01
4.629999999999999893e+00,1.086999999999999922e+01
4.580000000000000071e+00,1.116999999999999993e+01
4.580000000000000071e+00,1.146999999999999886e+01
4.580000000000000071e+00,1.176999999999999957e+01
4.629999999999999893e+00,1.207000000000000028e+01
4.679999999999999716e+00,1.236999999999999922e+01
4.730000000000000426e+00,1.266999999999999993e+01
4.780000000000000249e+00,1.296999999999999886e+01
4.879999999999999893e+00,1.326999999999999957e+01
4.929999999999999716e+00,1.357000000000000028e+01
5.030000000000000249e+00,1.387000000000000099e+01
5.129999999999999893e+00,1.416999999999999993e+01
5.230000000000000426e+00,1.446999999999999886e+01
5.330000000000000071e+00,1.476999999999999957e+01
5.480000000000000426e+00,1.507000000000000028e+01
5.580000000000000071e+00,1.537000000000000099e+01
5.730000000000000426e+00,1.566999999999999993e+01
5.879999999999999893e+00,1.596999999999999886e+01
5.929999999999999716e+00,1.626999999999999957e+01
5.980000000000000426e+00,1.657000000000000028e+01
6.030000000000000249e+00,1.686999999999999744e+01
5.980000000000000426e+00,1.717000000000000171e+01
5.980000000000000426e+00,1.746999999999999886e+01
5.929999999999999716e+00,1.776999999999999957e+01
5.879999999999999893e+00,1.807000000000000028e+01
5.730000000000000426e+00,1.837000000000000099e+01
5.580000000000000071e+00,1.867000000000000171e+01
5.429999999999999716e+00,1.896999999999999886e+01
5.230000000000000426e+00,1.926999999999999957e+01
4.980000000000000426e+00,1.957000000000000028e+01
4.780000000000000249e+00,1.987000000000000099e+01
4.530000000000000249e+00,2.017000000000000171e+01
4.379999999999999893e+00,2.046999999999999886e+01
4.330000000000000071e+00,2.076999999999999957e+01
4.280000000000000249e+00,2.107000000000000028e+01
4.330000000000000071e+00,2.137000000000000099e+01
4.379999999999999893e+00,2.167000000000000171e+01
4.480000000000000426e+00,2.196999999999999886e+01
4.730000000000000426e+00,2.226999999999999957e+01
5.030000000000000249e+00,2.246999999999999886e+01
5.330000000000000071e+00,2.251999999999999957e+01
5.629999999999999893e+00,2.262000000000000099e+01
5.929999999999999716e+00,2.271999999999999886e+01
6.230000000000000426e+00,2.276999999999999957e+01
6.530000000000000249e+00,2.282000000000000028e+01
6.830000000000000071e+00,2.271999999999999886e+01
7.129999999999999893e+00,2.251999999999999957e+01
7.330000000000000071e+00,2.221999999999999886e+01
7.480000000000000426e+00,2.192000000000000171e+01
7.580000000000000071e+00,2.162000000000000099e+01
7.629999999999999893e+00,2.132000000000000028e+01
7.679999999999999716e+00,2.101999999999999957e+01
7.679999999999999716e+00,2.071999999999999886e+01
7.679999999999999716e+00,2.042000000000000171e+01
7.730000000000000426e+00,2.012000000000000099e+01
7.780000000000000249e+00,1.982000000000000028e+01
7.830000000000000071e+00,1.951999999999999957e+01
7.830000000000000071e+00,1.921999999999999886e+01
7.830000000000000071e+00,1.892000000000000171e+01
7.830000000000000071e+00,1.862000000000000099e+01
7.879999999999999893e+00,1.832000000000000028e+01
7.879999999999999893e+00,1.801999999999999957e+01
7.879999999999999893e+00,1.771999999999999886e+01
7.879999999999999893e+00,1.742000000000000171e+01
7.929999999999999716e+00,1.711999999999999744e+01
7.929999999999999716e+00,1.682000000000000028e+01
7.929999999999999716e+00,1.651999999999999957e+01
7.929999999999999716e+00,1.621999999999999886e+01
7.929999999999999716e+00,1.591999999999999993e+01
7.929999999999999716e+00,1.562000000000000099e+01
7.929999999999999716e+00,1.532000000000000028e+01
7.929999999999999716e+00,1.501999999999999957e+01
7.929999999999999716e+00,1.471999999999999886e+01
7.929999999999999716e+00,1.441999999999999993e+01
7.929999999999999716e+00,1.412000000000000099e+01
7.980000000000000426e+00,1.382000000000000028e+01
7.980000000000000426e+00,1.351999999999999957e+01
8.030000000000001137e+00,1.321999999999999886e+01
8.030000000000001137e+00,1.291999999999999993e+01
8.080000000000000071e+00,1.262000000000000099e+01
8.080000000000000071e+00,1.232000000000000028e+01
8.080000000000000071e+00,1.201999999999999957e+01
8.080000000000000071e+00,1.171999999999999886e+01
